,ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
98,Apigenin,0,-5.3,48.23345016529056,10.988652205027591,-6.546900050999509,1024,2,11
99,Apigenin,0,-5.3,47.160212386154505,11.07308269177384,-7.773396559877763,1024,2,12
100,Apigenin,0,-5.2,51.588724543240595,11.278460351588825,-1.9685528969596444,1024,2,13
101,Apigenin,0,-5.2,40.81838637137568,13.978488735538276,-13.256605454796514,1024,2,14
102,Apigenin,0,-5.2,50.44602547467503,10.55945878201082,-3.6690491144012944,1024,2,15
103,Apigenin,0,-7.9,40.08366019844593,15.4540333487829,-0.7371938874914878,1024,3,1
104,Apigenin,0,-7.9,40.08777175954225,15.449920764656706,-0.7422115317550773,1024,3,2
105,Apigenin,0,-6.8,40.245215335705716,15.474721549916866,-1.267128098204789,1024,3,3
106,Apigenin,0,-6.7,40.123198828006906,14.687749034858484,-0.5047627572289011,1024,3,4
107,Apigenin,0,-5.6,46.49502908674106,10.874155037054253,-7.81273656152379,1024,3,5
108,Apigenin,0,-5.6,46.495206697707175,10.87454105878197,-7.813341847005893,1024,3,6
109,Apigenin,0,-5.5,47.934526168309354,10.102865904964618,-7.465603209784733,1024,3,7
110,Apigenin,0,-5.5,47.936805136746855,10.104828448711453,-7.468723306515846,1024,3,8
111,Apigenin,0,-5.4,47.69171934624578,12.005631365296527,-7.631414442382228,1024,3,9
112,Apigenin,0,-5.3,46.92097347630525,11.556621104600215,-7.955691520319519,1024,3,10
113,Apigenin,0,-5.3,48.236980163236424,10.984917295307207,-6.531568411570196,1024,3,11
114,Apigenin,0,-5.3,47.150316472718856,11.073505450472462,-7.77840086804792,1024,3,12
115,Apigenin,0,-5.2,40.81252112413826,13.960096563624266,-13.263967074123164,1024,3,13
116,Apigenin,0,-5.2,51.6143943710255,11.259740683660883,-1.9725889948978463,1024,3,14
117,Apigenin,0,-5.2,50.45215088505157,10.549551741776384,-3.6642748611952447,1024,3,15
118,Apigenin,0,-7.9,40.090628906361935,15.450149371481062,-0.7430029109463211,1024,4,1
119,Apigenin,0,-7.0,40.03690516257718,16.238841707139134,-1.0209419733381488,1024,4,2
120,Apigenin,0,-6.8,40.25230397195037,15.48567582165175,-1.2753287637441624,1024,4,3
121,Apigenin,0,-6.7,40.132672446230735,14.68365156728679,-0.5100127759423987,1024,4,4
122,Apigenin,0,-5.6,46.49715487283146,10.878378223157766,-7.819212989774037,1024,4,5
123,Apigenin,0,-5.6,46.69985929699109,10.731491776662141,-7.9608305721329975,1024,4,6
124,Apigenin,0,-5.5,46.83892500177257,10.723127301560744,-7.885001637516552,1024,4,7
125,Apigenin,0,-5.5,47.93217789700717,10.105110299749581,-7.467427322132293,1024,4,8
126,Apigenin,0,-5.5,47.940750010392186,10.10306269815885,-7.473798852659308,1024,4,9
127,Apigenin,0,-5.4,47.6805725225362,11.990310544130766,-7.641771326377009,1024,4,10
128,Apigenin,0,-5.3,46.90245653160349,11.558928681549165,-7.9454766256064095,1024,4,11
129,Apigenin,0,-5.3,46.92773132159247,11.557221269613366,-7.966042748012365,1024,4,12
130,Apigenin,0,-5.3,48.2346874710606,10.980149764293527,-6.545854462183197,1024,4,13
