Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
10 4 -6.4335537 0.0 -32.1252 7.17268 -13.8202 331.081 -2696.5 329.74 -2687.43 0.0 329.74 -2687.43 6.34121 -32.1252 -2383.4739 3.92367 3.92367
10 5 -6.4316535 0.0 -32.1031 7.173 -13.8191 331.081 -2696.5 329.739 -2687.43 0.0 329.739 -2687.43 6.33941 -32.1031 -2383.4546 3.92312 3.92312
10 6 -6.430791 0.0 -32.0936 7.1728 -13.8182 331.081 -2696.5 329.739 -2687.43 0.0 329.739 -2687.43 6.33647 -32.0936 -2383.448 3.92344 3.92344
11 0 -7.4513354 0.0 -44.981 6.54858 -13.4749 331.081 -2696.5 329.942 -2685.12 0.0 329.942 -2685.12 3.54371 -44.981 -2396.6155 -7.79794 -7.79794
11 1 -7.451001 0.0 -44.9773 6.54868 -13.4748 331.081 -2696.5 329.942 -2685.12 0.0 329.942 -2685.12 3.54257 -44.9773 -2396.613 -7.79793 -7.79793
11 2 -7.5393524 0.0 -49.4441 6.55929 -19.2904 331.081 -2696.5 329.943 -2685.46 0.0 329.943 -2685.46 12.6636 -49.4441 -2392.2974 -4.13981 -4.13981
11 3 -6.6919556 0.0 -36.8897 6.60115 -13.837 331.081 -2696.5 329.955 -2685.52 0.0 329.955 -2685.52 7.97455 -36.8897 -2384.48 4.60947 4.60947
11 4 -6.929899 0.0 -40.8313 6.71805 -17.1044 331.081 -2696.5 329.902 -2686.32 0.0 329.902 -2686.32 13.3739 -40.8313 -2383.8752 2.95144 2.95144
11 5 -6.717727 0.0 -36.2318 6.70248 -14.5649 331.081 -2696.5 329.936 -2687.5 0.0 329.936 -2687.5 10.6133 -36.2318 -2383.1824 0.559987 0.559987
11 6 -6.6149445 0.0 -35.9078 6.63605 -13.8993 331.081 -2696.5 329.937 -2685.76 0.0 329.937 -2685.76 9.49898 -35.9078 -2382.232 6.9774 6.9774
11 7 -6.514708 0.0 -33.6106 6.66196 -14.1148 331.081 -2696.5 329.951 -2687.87 0.0 329.951 -2687.87 10.552 -33.6106 -2380.9778 3.07719 3.07719
12 0 -7.4645157 0.0 -43.8702 7.49432 -14.1181 331.081 -2696.5 329.532 -2685.6 0.0 329.532 -2685.6 3.32574 -43.8702 -2396.6125 -7.24081 -7.24081
12 1 -7.2630806 0.0 -47.7586 7.25307 -18.9534 331.081 -2696.5 329.405 -2681.31 0.0 329.405 -2681.31 9.01474 -47.7586 -2390.649 -3.04218 -3.04218
13 0 -7.6966767 0.0 -46.296 6.73634 -15.9682 331.081 -2696.5 329.923 -2689.27 0.0 329.923 -2689.27 9.29149 -46.296 -2396.3513 -8.80691 -8.80691
13 1 -7.5841737 0.0 -45.9791 6.74953 -15.9218 331.081 -2696.5 329.907 -2687.83 0.0 329.907 -2687.83 8.59652 -45.9791 -2395.3057 -7.60407 -7.60407
13 2 -7.586074 0.0 -46.0138 6.74877 -15.9232 331.081 -2696.5 329.907 -2687.81 0.0 329.907 -2687.81 8.61119 -46.0138 -2395.3057 -7.60477 -7.60477
13 3 -6.9407167 0.0 -36.831 6.75529 -14.8445 331.081 -2696.5 329.926 -2690.4 0.0 329.926 -2690.4 5.09997 -36.831 -2392.2048 -5.07143 -5.07143
13 4 -6.940389 0.0 -36.8192 6.75586 -14.8425 331.081 -2696.5 329.926 -2690.41 0.0 329.926 -2690.41 5.10646 -36.8192 -2392.1965 -5.07111 -5.07111
13 5 -6.9948225 0.0 -37.0576 6.84955 -14.9 331.081 -2696.5 329.956 -2690.89 0.0 329.956 -2690.89 7.77253 -37.0576 -2390.219 -4.33269 -4.33269
13 6 -6.9942017 0.0 -37.0511 6.84948 -14.9 331.081 -2696.5 329.956 -2690.89 0.0 329.956 -2690.89 7.76768 -37.0511 -2390.2173 -4.33253 -4.33253
13 7 -6.676549 0.0 -36.5175 6.70766 -18.4351 331.081 -2696.5 329.931 -2690.24 0.0 329.931 -2690.24 24.6352 -36.5175 -2372.1914 9.35377 9.35377
14 0 -7.428228 0.0 -42.7163 7.82948 -14.0665 331.081 -2696.5 329.693 -2686.47 0.0 329.693 -2686.47 3.20036 -42.7163 -2396.293 -6.42744 -6.42744
14 1 -7.420556 0.0 -42.6589 7.82647 -14.0515 331.081 -2696.5 329.691 -2686.42 0.0 329.691 -2686.42 3.19151 -42.6589 -2396.1963 -6.43322 -6.43322
14 2 -7.6850057 0.0 -48.4493 7.73366 -17.5536 331.081 -2696.5 329.7 -2685.45 0.0 329.7 -2685.45 9.30544 -48.4493 -2394.8938 -6.24703 -6.24703
14 3 -7.11783 0.0 -40.3863 7.72537 -18.6691 331.081 -2696.5 329.665 -2689.72 0.0 329.665 -2689.72 8.19487 -40.3863 -2392.2463 -4.20284 -4.20284
14 4 -7.2702446 0.0 -43.8586 7.80132 -17.4136 331.081 -2696.5 329.762 -2685.62 0.0 329.762 -2685.62 8.70561 -43.8586 -2391.0112 -4.73395 -4.73395
14 5 -7.31109 0.0 -44.9971 7.82256 -17.4404 331.081 -2696.5 329.748 -2684.5 0.0 329.748 -2684.5 8.91872 -44.9971 -2390.8303 -3.98597 -3.98597
14 6 -6.9695997 0.0 -38.0595 7.72335 -16.0483 331.081 -2696.5 329.68 -2688.3 0.0 329.68 -2688.3 8.78243 -38.0595 -2387.8972 -1.63222 -1.63222
14 7 -6.934911 0.0 -37.4895 7.74445 -15.7112 331.081 -2696.5 329.677 -2688.24 0.0 329.677 -2688.24 8.50856 -37.4895 -2387.544 -1.20464 -1.20464
15 0 -7.7261496 0.0 -49.2697 7.8044 -16.3692 331.081 -2696.5 329.648 -2683.48 0.0 329.648 -2683.48 6.92206 -49.2697 -2396.1797 -7.62729 -7.62729
16 0 -7.2446604 0.0 -39.6097 7.71272 -13.4516 331.081 -2696.5 329.636 -2687.75 0.0 329.636 -2687.75 2.31825 -39.6097 -2395.4055 -4.32234 -4.32234
16 1 -6.9325294 0.0 -40.9015 7.80896 -18.3736 331.081 -2696.5 329.606 -2685.38 0.0 329.606 -2685.38 7.76182 -40.9015 -2388.9136 -3.8979 -3.8979
16 2 -7.002633 0.0 -37.3976 7.83845 -14.5055 331.081 -2696.5 329.672 -2688.13 0.0 329.672 -2688.13 7.65691 -37.3976 -2388.1987 1.92898 1.92898
16 3 -6.939523 0.0 -40.9238 7.80257 -14.6965 331.081 -2696.5 329.585 -2681.76 0.0 329.585 -2681.76 6.09648 -40.9238 -2387.0024 -1.69339 -1.69339
16 4 -6.7893214 0.0 -40.1013 7.83952 -19.1539 331.081 -2696.5 329.632 -2685.05 0.0 329.632 -2685.05 8.66389 -40.1013 -2386.8555 -2.84809 -2.84809
16 5 -6.1658907 0.0 -26.9556 7.81963 -14.4184 331.081 -2696.5 329.62 -2690.46 0.0 329.62 -2690.46 3.04162 -26.9556 -2384.754 -1.17808 -1.17808
17 0 -7.283001 0.0 -41.3787 7.66335 -14.2515 331.081 -2696.5 329.76 -2686.71 0.0 329.76 -2686.71 3.01263 -41.3787 -2395.316 -5.74837 -5.74837
17 1 -7.24608 0.0 -42.3747 7.68353 -18.6591 331.081 -2696.5 329.583 -2688.67 0.0 329.583 -2688.67 7.39694 -42.3747 -2394.0647 -6.81405 -6.81405
17 2 -6.9673347 0.0 -38.5294 7.60705 -16.256 331.081 -2696.5 329.742 -2688.02 0.0 329.742 -2688.02 5.59825 -38.5294 -2391.2092 -3.8577 -3.8577
17 3 -6.95745 0.0 -36.9466 7.59964 -14.7694 331.081 -2696.5 329.632 -2688.66 0.0 329.632 -2688.66 5.86733 -36.9466 -2390.1072 -2.42706 -2.42706
17 4 -6.9679966 0.0 -38.3354 7.69967 -14.7845 331.081 -2696.5 329.667 -2686.6 0.0 329.667 -2686.6 6.15055 -38.3354 -2389.118 -1.52064 -1.52064
17 5 -6.7558684 0.0 -35.5809 7.65325 -14.5231 331.081 -2696.5 329.601 -2687.1 0.0 329.601 -2687.1 4.23375 -35.5809 -2388.8462 -3.76359 -3.76359
17 6 -6.5391493 0.0 -32.4887 7.2671 -15.868 331.081 -2696.5 329.84 -2690.65 0.0 329.84 -2690.65 9.09817 -32.4887 -2384.2004 7.34708 7.34708
17 7 -6.534222 0.0 -32.4369 7.2672 -15.8686 331.081 -2696.5 329.84 -2690.65 0.0 329.84 -2690.65 9.06839 -32.4369 -2384.1782 7.34742 7.34742
18 0 -7.412924 0.0 -43.5099 7.64981 -14.6937 331.081 -2696.5 329.733 -2685.96 0.0 329.733 -2685.96 4.55438 -43.5099 -2395.1826 -5.7707 -5.7707
18 1 -7.525205 0.0 -44.2502 7.82599 -17.187 331.081 -2696.5 329.758 -2688.91 0.0 329.758 -2688.91 8.25191 -44.2502 -2395.1501 -6.08926 -6.08926
18 2 -7.524967 0.0 -44.2442 7.82571 -17.1912 331.081 -2696.5 329.758 -2688.92 0.0 329.758 -2688.92 8.25685 -44.2442 -2395.1492 -6.0893 -6.0893
18 3 -7.0675163 0.0 -40.6381 7.71044 -17.3963 331.081 -2696.5 329.724 -2687.35 0.0 329.724 -2687.35 9.32242 -40.6381 -2388.942 -3.2439 -3.2439
18 4 -7.105229 0.0 -40.5736 7.64619 -16.4363 331.081 -2696.5 329.727 -2687.21 0.0 329.727 -2687.21 10.2969 -40.5736 -2387.7595 -1.60738 -1.60738
19 0 -7.522987 0.0 -46.4645 7.65057 -14.9453 331.081 -2696.5 329.693 -2683.38 0.0 329.693 -2683.38 5.29839 -46.4645 -2394.853 -6.50495 -6.50495
19 1 -6.853358 0.0 -35.8823 7.85556 -14.6153 331.081 -2696.5 329.655 -2688.09 0.0 329.655 -2688.09 3.86433 -35.8823 -2390.4531 -1.64003 -1.64003
19 2 -7.1105547 0.0 -41.9387 7.71795 -17.4287 331.081 -2696.5 329.618 -2685.9 0.0 329.618 -2685.9 8.17945 -41.9387 -2390.0413 -3.43966 -3.43966
19 3 -7.108564 0.0 -41.9118 7.71384 -17.382 331.081 -2696.5 329.619 -2685.87 0.0 329.619 -2685.87 8.15166 -41.9118 -2390.0115 -3.46218 -3.46218
19 4 -6.963343 0.0 -37.141 7.66245 -17.2966 331.081 -2696.5 329.667 -2690.94 0.0 329.667 -2690.94 9.11666 -37.141 -2389.2974 -2.54931 -2.54931
20 0 -7.3055086 0.0 -43.9493 7.75843 -15.2513 331.081 -2696.5 329.639 -2683.77 0.0 329.639 -2683.77 3.40069 -43.9493 -2394.6797 -6.97016 -6.97016
21 0 -7.70158 0.0 -49.4601 7.86069 -15.8 331.081 -2696.5 329.714 -2682.23 0.0 329.714 -2682.23 7.72998 -49.4601 -2394.246 -5.57533 -5.57533
21 1 -7.7143593 0.0 -49.6713 7.85986 -15.8116 331.081 -2696.5 329.717 -2682.13 0.0 329.717 -2682.13 7.84844 -49.6713 -2394.2356 -5.35899 -5.35899
21 2 -7.699861 0.0 -49.4209 7.85637 -15.7839 331.081 -2696.5 329.712 -2682.25 0.0 329.712 -2682.25 7.73906 -49.4209 -2394.22 -5.57607 -5.57607
21 3 -7.2213397 0.0 -41.5925 7.84207 -14.8294 331.081 -2696.5 329.706 -2685.59 0.0 329.706 -2685.59 4.39968 -41.5925 -2393.077 -5.39965 -5.39965
21 4 -6.7819533 0.0 -36.4375 7.84281 -13.9471 331.081 -2696.5 329.683 -2685.46 0.0 329.683 -2685.46 3.44334 -36.4375 -2388.771 -2.5068 -2.5068
21 5 -6.7819533 0.0 -36.4375 7.84281 -13.9471 331.081 -2696.5 329.683 -2685.46 0.0 329.683 -2685.46 3.44334 -36.4375 -2388.771 -2.5068 -2.5068
21 6 -6.781496 0.0 -36.4258 7.84656 -13.9777 331.081 -2696.5 329.686 -2685.5 0.0 329.686 -2685.5 3.49506 -36.4258 -2388.7446 -2.51518 -2.51518
21 7 -6.5944886 0.0 -36.3948 7.85798 -15.5516 331.081 -2696.5 329.687 -2684.05 0.0 329.687 -2684.05 8.46728 -36.3948 -2382.2905 2.12764 2.12764
21 8 -6.3810463 0.0 -33.4611 7.84677 -14.948 331.081 -2696.5 329.667 -2684.48 0.0 329.667 -2684.48 8.77868 -33.4611 -2379.4954 4.79471 4.79471
22 0 -7.1338234 0.0 -39.0701 7.54258 -13.4091 331.081 -2696.5 329.692 -2687.08 0.0 329.692 -2687.08 2.3274 -39.0701 -2394.1309 -5.11905 -5.11905
